attribute,status,count
releaseDate,some,9200
country,some,2818
language,some,5281
runtime,some,18363
budget,some,3503
boxOffice,some,4144
basedOn,some,2
IMDbID,some,4231
plot,some,21926
franchise,none,0
depiction,none,0
wikiPageWikiLink,some,22399
primaryTopic,none,0
wasDerivedFrom,some,22414
RottenTomatoesID,some,147
genres,some,841
actors,some,17681
directors,some,16564
distributors,some,12560
writer,some,12648
producers,some,10459
composers,some,9925
cinematographers,some,9078
filmingLocations,none,0
productionCompanies,some,10145
mainSubjects,some,22019
series,some,15
