attribute,status,count,Type
country,some,1886,String
language,some,2606,String
runtime,some,6338,int
budget,some,840,int
boxOffice,some,1014,int
basedOn,none,0,
IMDbID,some,1741,string
plot,all,7794,string
franchise,none,0,
depiction,none,0,
wikiPageWikiLink,all,7900,URL/String
primaryTopic,none,0,
wasDerivedFrom,all,7900,Object
RottenTomatoesID,some,90,string
genres,some,808,string
actors,all,6108,Object
directors,all,4652,Object
distributors,all,2751,Object
writer,all,3155,Object
producers,all,2701,Object
composers,all,2923,Object
cinematographers,all,1336,Object
filmingLocations,none,0,
productionCompanies,all,1207,Object
mainSubjects,all,7892,String
series,some,21,Object
